id,title,tag,vote_count,rating,crew,director,sbert_text
862.0,Toy Story (1995),"johnlasseter johnlasseter johnlasseter animation comedy family animation comedy family animation comedy family animation comedy family jealousy toy boy friendship friends rivalry boynextdoor newtoy toycomestolife jealousy toy boy friendship friends rivalry boynextdoor newtoy toycomestolife jealousy toy boy friendship friends rivalry boynextdoor newtoy toycomestolife jealousy toy boy friendship friends rivalry boynextdoor newtoy toycomestolife tomhanks timallen donrickles tomhanks timallen donrickles lead woody, andy's toy live happily room andy's birthday brings buzz lightyear onto scene. afraid lose place andy's heart, woody plot buzz. circumstance separate buzz woody owner, duo eventually learn put aside differences.",5415.0,7.691378177353202,johnlasseter,John Lasseter,"A Animation, Comedy, Family film. Starring Tom Hanks, Tim Allen, Don Rickles. Directed by John Lasseter. Themes include jealousy, toy, boy, friendship, friends, rivalry, boy next door, new toy, toy comes to life. Overview: Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."
8844.0,Jumanji (1995),"joejohnston joejohnston joejohnston adventure fantasy family adventure fantasy family adventure fantasy family adventure fantasy family boardgame disappearance basedonchildren'sbook newhome recluse giantinsect boardgame disappearance basedonchildren'sbook newhome recluse giantinsect boardgame disappearance basedonchildren'sbook newhome recluse giantinsect boardgame disappearance basedonchildren'sbook newhome recluse giantinsect robinwilliams jonathanhyde kirstendunst robinwilliams jonathanhyde kirstendunst sibling judy peter discover enchant board game open door magical world, unwittingly invite alan -- adult who's trap inside game 26 year -- live room. alan's hope freedom finish game, prof risky three find run giant rhinoceroses, evil monkey terrify creatures.",2413.0,6.89191650527078,joejohnston,Joe Johnston,"A Adventure, Fantasy, Family film. Starring Robin Williams, Jonathan Hyde, Kirsten Dunst. Directed by Joe Johnston. Themes include board game, disappearance, based on children's book, new home, recluse, giant insect. Overview: When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures."
15602.0,Grumpier Old Men (1995),"howarddeutch howarddeutch howarddeutch romance comedy romance comedy romance comedy romance comedy fish bestfriend duringcreditsstinger oldmen fish bestfriend duringcreditsstinger oldmen fish bestfriend duringcreditsstinger oldmen fish bestfriend duringcreditsstinger oldmen waltermatthau jacklemmon ann-margret waltermatthau jacklemmon ann-margret family wed reignites ancient feud next-door neighbor fish buddy john max. meanwhile, sultry italian divorcée open restaurant local bait shop, alarm local worry scare fish away. less interested seafood cook hot time max.",92.0,6.450949907917442,howarddeutch,Howard Deutch,"A Romance, Comedy film. Starring Walter Matthau, Jack Lemmon, Ann-Margret. Directed by Howard Deutch. Themes include fishing, best friend, duringcreditsstinger, old men. Overview: A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max."
31357.0,Waiting to Exhale (1995),"forestwhitaker forestwhitaker forestwhitaker comedy drama romance comedy drama romance comedy drama romance comedy drama romance basedonnovel interracialrelationship singlemother divorce chickflick basedonnovel interracialrelationship singlemother divorce chickflick basedonnovel interracialrelationship singlemother divorce chickflick basedonnovel interracialrelationship singlemother divorce chickflick whitneyhouston angelabassett lorettadevine whitneyhouston angelabassett lorettadevine cheat on, mistreat step on, woman hold breath, wait elusive ""good man"" break string less-than-stellar lovers. friend confidant vannah, bernie, glo robin talk out, determine find good way breathe.",34.0,6.209113064670554,forestwhitaker,Forest Whitaker,"A Comedy, Drama, Romance film. Starring Whitney Houston, Angela Bassett, Loretta Devine. Directed by Forest Whitaker. Themes include based on novel, interracial relationship, single mother, divorce, chick flick. Overview: Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe."
11862.0,Father of the Bride Part II (1995),"charlesshyer charlesshyer charlesshyer comedy comedy comedy comedy baby midlifecrisis confidence age daughter motherdaughterrelationship pregnancy contraception gynecologist baby midlifecrisis confidence age daughter motherdaughterrelationship pregnancy contraception gynecologist baby midlifecrisis confidence age daughter motherdaughterrelationship pregnancy contraception gynecologist baby midlifecrisis confidence age daughter motherdaughterrelationship pregnancy contraception gynecologist stevemartin dianekeaton martinshort stevemartin dianekeaton martinshort george bank recover daughter's wedding, receive news pregnant ... george's wife, nina, expect too. plan sell home, that's plan -- like george -- change arrival grandchild kid own.",173.0,5.801544388394191,charlesshyer,Charles Shyer,"A Comedy film. Starring Steve Martin, Diane Keaton, Martin Short. Directed by Charles Shyer. Themes include baby, midlife crisis, confidence, aging, daughter, mother daughter relationship, pregnancy, contraception, gynecologist. Overview: Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own."
949.0,Heat (1995),"michaelmann michaelmann michaelmann action crime drama thriller action crime drama thriller action crime drama thriller action crime drama thriller robbery detective bank obsession chase shoot thief honor murder suspense heist betrayal money gang catandmouse criminalmastermind cultfilm ex-con heistmovie onelastjob loner bankjob neo-noir gunfight crimeepic robbery detective bank obsession chase shoot thief honor murder suspense heist betrayal money gang catandmouse criminalmastermind cultfilm ex-con heistmovie onelastjob loner bankjob neo-noir gunfight crimeepic robbery detective bank obsession chase shoot thief honor murder suspense heist betrayal money gang catandmouse criminalmastermind cultfilm ex-con heistmovie onelastjob loner bankjob neo-noir gunfight crimeepic robbery detective bank obsession chase shoot thief honor murder suspense heist betrayal money gang catandmouse criminalmastermind cultfilm ex-con heistmovie onelastjob loner bankjob neo-noir gunfight crimeepic alpacino robertdeniro valkilmer alpacino robertdeniro valkilmer obsessive master thief, neil mccauley lead top-notch crew various insane heist throughout los angeles mentally unstable detective, vincent hanna pursues without rest. man recognize respect ability dedication even though aware cat-and-mouse game may end violence.",1886.0,7.675531087707082,michaelmann,Michael Mann,"A Action, Crime, Drama, Thriller film. Starring Al Pacino, Robert De Niro, Val Kilmer. Directed by Michael Mann. Themes include robbery, detective, bank, obsession, chase, shooting, thief, honor, murder, suspense. Overview: Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence."
11860.0,Sabrina (1995),"sydneypollack sydneypollack sydneypollack comedy romance comedy romance comedy romance comedy romance paris brotherbrotherrelationship chauffeur longisland fusion millionaire paris brotherbrotherrelationship chauffeur longisland fusion millionaire paris brotherbrotherrelationship chauffeur longisland fusion millionaire paris brotherbrotherrelationship chauffeur longisland fusion millionaire harrisonford juliaormond gregkinnear harrisonford juliaormond gregkinnear ugly duckling undergone remarkable change, still harbor feeling crush: carefree playboy, business-focused brother something say it.",141.0,6.222969647986273,sydneypollack,Sydney Pollack,"A Comedy, Romance film. Starring Harrison Ford, Julia Ormond, Greg Kinnear. Directed by Sydney Pollack. Themes include paris, brother brother relationship, chauffeur, long island, fusion, millionaire. Overview: An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
45325.0,Tom and Huck (1995),"peterhewitt peterhewitt peterhewitt action adventure drama family action adventure drama family action adventure drama family action adventure drama family jonathantaylorthomas bradrenfro rachaelleighcook jonathantaylorthomas bradrenfro rachaelleighcook mischievous young boy, tom sawyer, witness murder deadly injun joe. tom become friend huckleberry finn, boy future family. tom choose honor friendship honor oath town alcoholic accuse murder. tom huck go several adventure try retrieve evidence.",45.0,5.795185929083515,peterhewitt,Peter Hewitt,"A Action, Adventure, Drama, Family film. Starring Jonathan Taylor Thomas, Brad Renfro, Rachael Leigh Cook. Directed by Peter Hewitt. Themes include . Overview: A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence."
9091.0,Sudden Death (1995),"peterhyams peterhyams peterhyams action adventure thriller action adventure thriller action adventure thriller action adventure thriller terrorist hostage explosive vicepresident terrorist hostage explosive vicepresident terrorist hostage explosive vicepresident terrorist hostage explosive vicepresident jean-claudevandamme powersboothe dorianharewood jean-claudevandamme powersboothe dorianharewood international action superstar jean claude van damme team power boothe tension-packed, suspense thriller, set back-drop stanley cup game.van damme portray father whose daughter suddenly take championship hockey game. captor demand billion dollar game's end, van damme frantically set plan motion rescue daughter abort impend explosion final buzzer...",174.0,5.633748501911527,peterhyams,Peter Hyams,"A Action, Adventure, Thriller film. Starring Jean-Claude Van Damme, Powers Boothe, Dorian Harewood. Directed by Peter Hyams. Themes include terrorist, hostage, explosive, vice president. Overview: International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer..."
710.0,GoldenEye (1995),martincampbell martincampbell martincampbell adventure action thriller adventure action thriller adventure action thriller adventure action thriller cuba falselyaccused secretidentity computervirus secretbase secretintelligenceservice kgb satellite specialcar cossack electromagneticpulse timebomb st.petersburgrussia ejectionseat redarmy cuba falselyaccused secretidentity computervirus secretbase secretintelligenceservice kgb satellite specialcar cossack electromagneticpulse timebomb st.petersburgrussia ejectionseat redarmy cuba falselyaccused secretidentity computervirus secretbase secretintelligenceservice kgb satellite specialcar cossack electromagneticpulse timebomb st.petersburgrussia ejectionseat redarmy cuba falselyaccused secretidentity computervirus secretbase secretintelligenceservice kgb satellite specialcar cossack electromagneticpulse timebomb st.petersburgrussia ejectionseat redarmy piercebrosnan seanbean izabellascorupco piercebrosnan seanbean izabellascorupco james bond must unmask mysterious head janus syndicate prevent leader utilize goldeneye weapon system inflict devastate revenge britain.,1194.0,6.592198443320519,martincampbell,Martin Campbell,"A Adventure, Action, Thriller film. Starring Pierce Brosnan, Sean Bean, Izabella Scorupco. Directed by Martin Campbell. Themes include cuba, falsely accused, secret identity, computer virus, secret base, secret intelligence service, kgb, satellite, special car, cossack. Overview: James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain."
